file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
vocals_002,0.0,23.78,_mfa_corpus,-49.175856812447435,-54.73326590186671,5.764462033218447,0.15387727078764257
vocals_001,0.0,23.48,_mfa_corpus,-49.70359082197615,-53.36165843539768,5.008401887629659,0.13366583407167099
vocals_006,0.0,22.72,_mfa_corpus,-49.97082347601232,-55.77688495411592,4.6094086488182695,0.5446237876334479
vocals_004,0.0,24.74,_mfa_corpus,-48.50169260307195,-55.565682497891515,4.445359990771463,1.314615999492057
vocals_008,0.0,25.22,_mfa_corpus,-52.78992367168914,-56.86841130574544,3.998806175378165,0.4862783521024596
vocals_003,0.0,14.56,_mfa_corpus,-57.850596668956044,-58.881032790260754,3.754280090356775,0.005391345337256936
vocals_005,0.0,25.32,_mfa_corpus,-50.37378122531596,-56.50392852594823,3.5097306860444233,0.19881001414056065
vocals_009,0.0,16.49,_mfa_corpus,-54.089860332019406,-62.62101389567057,1.704025734462288,2.8754883121304005
vocals_000,0.0,21.67,_mfa_corpus,,,,
vocals,0.0,223.6604375,_mfa_corpus,-51.78294621300188,,,6.773904885574359
vocals_007,0.0,22.58,_mfa_corpus,,,,
