file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
vocals_007,0.0,17.99,_mfa_corpus,-51.72772634102279,-52.63198697320346,8.737617331739328,0.5225005146607877
vocals_010,0.0,17.99,_mfa_corpus,-51.80168235825459,-55.72125485987445,5.976582252550379,3.3606385430174424
vocals_006,0.0,17.989,_mfa_corpus,-52.170654704002224,-53.70180002295453,3.5697565840221213,1.2651479951043267
vocals_003,0.0,17.989,_mfa_corpus,-54.33062204697054,-54.5066982490429,3.071917863856371,-0.03202130996750974
vocals_012,0.0,18.3399375,_mfa_corpus,-52.29508161804798,-56.71117503302438,2.326195742853921,1.7127220198974893
vocals_000,0.0,18.34,_mfa_corpus,,,,
vocals_008,0.0,17.989,_mfa_corpus,,,,
vocals_009,0.0,17.99,_mfa_corpus,,,,
vocals_002,0.0,17.99,_mfa_corpus,,,,
vocals,0.0,242.9649375,_mfa_corpus,-53.68979461639776,,,3.901026922145321
vocals_011,0.0,17.989,_mfa_corpus,,,,
vocals_005,0.0,17.99,_mfa_corpus,,,,
vocals_004,0.0,17.99,_mfa_corpus,,,,
vocals_001,0.0,17.989,_mfa_corpus,,,,
